Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Корпанюк,Августин,Федорович,Чоловіча,01-09-1997,Сантехнік,хутір Новомосковськ,"набережна Лінія 32-га, буд. 809 кв. 5, Кам'янка-Дніпровська, 40211",+380 47 567-98-56,nalyvaikomyron@example.net
Ляшко,Петро,Августинович,Чоловіча,04-06-2003,Патологоанатом,селище Калинівка ,"парк Восьмого березня 2-й, буд. 4 кв. 60, Миронівка, 51172",+380 93 346-63-97,daryna99@example.net
Баранець,Стефан,Павлович,Чоловіча,30-06-1953,Архітектор,хутір Горішні Плавні,"сквер Вільгельма Габсбурга, буд. 9, Комарно, 88246",+380 00 810-84-56,hlib68@example.com
Єрошенко,Богуслав,Степанович,Чоловіча,14-08-1952,Психолог,селище Чуднів,"площа Офіцерський 2-й, буд. 455, Краматорськ, 62711",+380 54 918-37-20,omelian31@example.com
Теличенко,Яків,Венедиктович,Чоловіча,31-07-1980,Астрофізик,селище Первомайськ,"набережна Кришталевий, буд. 41 кв. 804, Шпола, 24355",644-51-02,xverkhovynets@example.org
Симоненко,Олег,Болеславович,Чоловіча,29-02-1992,Електромонтажник,місто Деражня,"набережна Трудовий, буд. 50 кв. 3, Ланівці, 65191",075 444-30-87,dankhomyk@example.com
Рябець,Стефан,Йосипович,Чоловіча,24-07-1962,Стоматолог,село Саки ,"площа Наявний 3-й, буд. 622 кв. 81, Радомишль, 96676",086 636-11-85,roksolana12@example.net
Вітер,Симон,Богданович,Чоловіча,19-11-1985,Стиліст,хутір Христинівка,"набережна Платанова, буд. 74 кв. 9, Хирів, 18668",083 772 99 69,volodymyrkashchenko@example.net
Бандера,Гаврило,Станіславович,Чоловіча,22-10-1948,Географ,місто Остер ,"парк Бессарабська, буд. 9 кв. 5, Старокостянтинів, 55775",+380 (49) 335-23-68,ohaievska@example.org
Скорик,Станіслав,Пилипович,Чоловіча,22-09-1944,Соціолог,селище Міусинськ,"набережна Вєтрова, буд. 6 кв. 44, Конотоп, 02127",125 45 52,valeriimykhailiuk@example.com
Шухевич,Руслан,Лукʼянович,Чоловіча,29-07-1972,Хореограф,хутір Чугуїв,"вулиця Чапаєва, буд. 4 кв. 1, Новояворівськ, 75727",+380 (50) 973-73-06,mariia39@example.com
Карась,Арсен,Микитович,Чоловіча,15-01-1987,Соціолог,хутір Вугледар,"сквер Північний, буд. 42 кв. 776, Ізюм, 16231",+380 99 607 68 24,vasyl16@example.net
Стус,Трохим,Богуславович,Чоловіча,27-11-1999,Астроном,місто Федорівка,"узвіз Компасний, буд. 0 кв. 43, Миколаївка , 06893",+380 (21) 032-63-04,viraaleksandrenko@example.com
Швачка,Єва,Іванівна,Жіноча,20-03-1985,Ґрунтознавець,хутір Золочів,"провулок Володимира Вінниченка, буд. 91 кв. 5, Южноукраїнськ, 61963",+380 (31) 760-10-89,dashkevychhalyna@example.net
Деревʼянко,Одарка,Юстимівна,Жіноча,25-03-1944,Конструктор,хутір Рудки,"сквер Космонавтів, буд. 91, Лозова , 35534",+380 89 466 75 60,eduard05@example.org
Гуцуляк,Еріка,Артемівна,Жіноча,24-08-1945,Машиніст,хутір Липовець,"проспект Коблевська, буд. 448, Лохвиця, 04226",+380 89 580-40-47,sheremetales@example.com
Килимник,Роксолана,Захарівна,Жіноча,23-12-1943,Маркетолог,хутір Носівка,"набережна Профспілкова, буд. 26 кв. 3, Виноградів, 44293",254-93-31,ihordzyndra@example.org
Конопленко,Лариса,Соломонівна,Жіноча,27-05-1947,Композитор,селище Берегове,"площа Леваневського тупик, буд. 8 кв. 005, Гірник , 98765",+380 21 603-01-66,iartymovych@example.net
Кабаненко,Пріска,Валентинівна,Жіноча,12-02-1997,Диригент,село Підгородне,"сквер Академіка Богатського, буд. 643, Сулимівка (Слов'янськ), 51196",+380 38 336-20-08,tykhaedyta@example.net
Симоненко,Олена,Борисівна,Жіноча,21-03-1998,Пекар,селище Лозова ,"сквер Висока, буд. 109 кв. 1, Волноваха, 84056",236-53-09,valentyna25@example.net
Шеремет,Ірина,Яремівна,Жіноча,01-12-2004,Ґрунтознавець,селище Комарно,"проспект Лермонтовський, буд. 44 кв. 326, Авдіївка, 09975",+380 40 861-85-79,ubashtan@example.net
Тимчук,Ірина,Станіславівна,Жіноча,26-07-1984,Фізик,село Рені,"площа Камишова, буд. 910 кв. 5, Сіверськ, 67067",081 254-50-75,leon11@example.org
Голик,Лариса,Станіславівна,Жіноча,05-12-1975,Секретар,село Тернопіль,"площа Хімічний 3-й, буд. 88, Барвінкове, 67153",+380 (58) 576-74-51,qtovstolis@example.com
Заєць,Михайлина,Борисівна,Жіноча,07-08-1961,Сценарист,село Баранівка,"шосе Шостої 2-й, буд. 89, Житомир, 97650",+380 07 786-90-49,emiliia81@example.com
Єщенко,Лариса,Семенівна,Жіноча,22-09-1948,Вчитель,хутір Баштанка,"шосе Скляна, буд. 90 кв. 3, Мерефа, 83050",371-25-01,promanets@example.com
Заїка,Орина,Володимирівна,Жіноча,29-05-1996,Дизайнер,хутір Ківерці,"сквер Ватманський, буд. 921, Прип'ять , 92632",024 858 62 95,ostapdemianiuk@example.com
Терещук,Богуслава,Охрімівна,Жіноча,07-09-1981,Мірошник,місто Родинське,"провулок Пассіонарії, буд. 88, Васильків, 57690",+380 90 243-31-86,rostyslavtarasenko@example.com
Ященко,Емілія,Феофанівна,Жіноча,12-01-1972,Шериф,село Глиняни,"шосе Красна, буд. 2, Шпола, 57879",028 02 11,iosyp70@example.org
Чуприна,Розалія,Леопольдівна,Жіноча,04-04-1985,Петрограф,село Монастирище,"площа Парашутний, буд. 228 кв. 757, Донецьк, 68335",+380 (63) 486-55-33,hordiidemydenko@example.net
Абрамчук,Марина,Пантелеймонівна,Жіноча,30-07-1947,Кур'єр,село Христинівка,"шосе Стамбульський, буд. 855, Монастирище, 16065",+380 17 458-82-47,iakiv38@example.net
Царенко,Ганна,Миронівна,Жіноча,27-08-1956,Кушнір,хутір Керч,"парк Дунаєвського 1-й, буд. 242, Білицьке, 12782",805-86-01,nadiiazakharchenko@example.org
Негода,Аліна,Дмитріївна,Жіноча,22-09-1980,Гицель,хутір Керч,"площа Аеропортівський 6-й, буд. 3 кв. 853, Знам'янка, 17079",+380 27 490 71 83,xtokar@example.net
Андрійович,Соломія,Юстимівна,Жіноча,06-09-1958,Парфюмер,місто Чуднів,"вулиця Бузковий 2-й, буд. 840 кв. 63, Овруч, 41025",275-33-30,haidaburaemiliia@example.com
Скиба,Соломія,Вʼячеславівна,Жіноча,17-11-2001,Електрослюсар,село Новодністровськ,"шосе Шкільний, буд. 94, Олевськ, 51963",061 768 09 80,deinekaamaliia@example.com
Байда,Святослава,Артемівна,Жіноча,02-01-1968,Епідеміолог,місто Тростянець,"парк Листяний, буд. 9 кв. 164, Черкаси, 77813",+380 68 869 65 78,viurchuk@example.org
Черненко,Роксолана,Бориславівна,Жіноча,13-04-1942,Ботанік,село Корець,"площа Листяний, буд. 13 кв. 44, Кіцмань, 97268",+380 35 557-62-44,mdakhno@example.net
Андрієвич,Амалія,Зорянівна,Жіноча,03-01-1962,Ветеринар,місто Балаклія,"сквер Кондрашина, буд. 508 кв. 9, Копичинці, 26196",+380 07 941 71 66,bohuslavtsiupa@example.com
Бакуменко,Любов,Богуславівна,Жіноча,21-09-1960,Астронавт,село Сквира,"шосе Святослава Ріхтера, буд. 32, Роздільна, 18583",540-04-66,feofan32@example.org
Гайворонська,Галина,Пилипівна,Жіноча,03-11-1955,Ботанік,місто Дебальцеве,"шосе Хімічний 1-й, буд. 36 кв. 8, Слов'янськ, 45416",333-56-87,danizhakevych@example.net
Власюк,Юстина,Вадимівна,Жіноча,08-09-1966,Геофізик,хутір Хоростків,"узвіз Водопровідний 3-й, буд. 61, Теплодар, 41822",+380 75 903-62-30,karmaliukemiliia@example.com
Андрієнко,Альбіна,Олегівна,Жіноча,18-01-1985,Фізик,хутір Сміла,"провулок Сабанський, буд. 087 кв. 353, Суходільськ, 60727",000 347-10-97,samoilenkospas@example.com
Туркало,Ірена,Вʼячеславівна,Жіноча,17-08-1963,Сантехнік,хутір Шпола,"сквер Дунаєвського, буд. 537 кв. 680, Кривий Ріг, 65754",132-10-77,hennadii75@example.net
Андріїшин,Марина,Августинівна,Жіноча,25-10-1942,Складальник,хутір Мала Виска,"проспект Чернишевського, буд. 661, Васильків, 18499",070 253 03 46,ydanylenko@example.com
Бабʼяк,Софія,Максимівна,Жіноча,19-05-1998,Правник,село Сарни,"сквер Дюківська, буд. 78, Ладижин, 79773",099 319 27 04,iukhymchekaliuk@example.com
Павленко,Данна,Кирилівна,Жіноча,04-03-1998,Візажист,селище Приморськ (Україна),"узвіз Виноградна, буд. 1, Карлівка, 44396",+380 (51) 219-58-24,lytvynavhustyn@example.net
Матвієнко,Тетяна,Климентівна,Жіноча,27-02-1984,Менеджер,село Перечин,"провулок Шостої 2-й, буд. 02, Рава-Руська, 27288",+380 (11) 186-83-84,mvashchenko-zakharchenko@example.org
Тарасенко,Розалія,Давидівна,Жіноча,31-01-1996,Музичний редактор,хутір Глухів,"парк Шебелінський, буд. 53, Кремінна, 81354",756-53-68,symon03@example.com
Нестайко,Марта,Марківна,Жіноча,23-07-1952,Ботанік,село Сулимівка (Слов'янськ),"набережна Залізничний 3-й, буд. 56 кв. 151, Святогірськ, 13550",+380 81 528-00-88,pylypfranchuk@example.com
Юрчук,Едита,Орестівна,Жіноча,16-01-1970,М'ясник,селище Старий Самбір,"площа Асєєва Юрія, буд. 36 кв. 989, Старобільськ, 33636",925 33 99,rbaranyk@example.com
Рева,Христина,Мирославівна,Жіноча,17-02-1975,Кухар,хутір Рава-Руська,"вулиця Миколи Гумільова, буд. 025, Коломия, 09727",+380 16 335 74 18,tkorpaniuk@example.org
Лубенець,Оксана,Максимівна,Жіноча,28-04-2005,Головний меркшейдер,хутір Новоград-Волинський,"узвіз Училищна, буд. 307, Немирів, 10813",+380 18 017 42 47,osahal@example.org
Вакарчук,Алла,Теодорівна,Жіноча,15-06-1997,Кінорежисер,місто Новоукраїнка,"парк Кифоренка Бориса, буд. 807, Тиврів, 56732",+380 77 790 54 55,hordii02@example.com
Лесик,Марʼяна,Леопольдівна,Жіноча,19-05-1947,Сантехнік,хутір Керч,"набережна Шостої 1-й, буд. 58 кв. 53, Вознесенськ, 79056",069 166-99-06,amvrosii54@example.net
Тимченко,Володимира,Гордіївна,Жіноча,23-01-1948,Електрослюсар,село Перемишляни,"площа Шкільний аеродром, буд. 3 кв. 444, Новогродівка, 01365",+380 70 914-48-54,havrylivliliia@example.com
Кармалюк,Клавдія,Борисівна,Жіноча,26-08-1965,Головний меркшейдер,село Стебник,"узвіз 11-та Суворовська, буд. 86, Зборів, 26715",327 86 04,lzakusylo@example.org
Ватаманюк,Анжела,Вʼячеславівна,Жіноча,16-07-1969,Зоолог,село Дрогобич,"сквер Лїнія 1-ша, буд. 98 кв. 8, Стебник, 45752",+380 62 260-18-75,hordiibezditko@example.net
Артим,Аліна,Едуардівна,Жіноча,13-12-1989,Бізнесмен,село Сніжне,"вулиця Депутатський, буд. 2, Болград, 99318",+380 (55) 912-72-41,xhaidabura@example.com
Дашенко,Пріска,Ігорівна,Жіноча,23-06-1972,Ветеринар,хутір Долина ,"проспект Академіка Вільямса, буд. 2 кв. 224, Немирів, 64972",+380 30 301-22-23,oleh93@example.org
Євдокименко,Оксенія,Костянтинівна,Жіноча,13-11-1983,Агроном,місто Олександрія,"набережна Артилерійський 2-й, буд. 48, Скадовськ, 23779",+380 (91) 135-27-41,iurchenkoklyment@example.org
Жук,Ольга,Олегівна,Жіноча,07-12-2000,Флорист,місто Могилів-Подільський,"парк Восьмого березня 5-й, буд. 7 кв. 5, Нова Каховка, 17437",233-05-10,pylypgalagan@example.com
Філіпенко,Єва,Георгіївна,Жіноча,15-11-1991,Літературознавець,селище Чернігів,"проспект Шота Руставелі, буд. 276 кв. 889, Хотин, 10332",085 805 29 31,iustyna10@example.com
Єфименко,Тетяна,Романівна,Жіноча,25-06-1997,Кушнір,село Погребище,"шосе Рибальська, буд. 65, Костопіль, 90471",019 70 72,bohodarhavrylets@example.net
Шеремета,Марта,Панасівна,Жіноча,07-04-1992,Стоматолог,місто Ізюм,"шосе Чернігівська, буд. 55 кв. 1, Славута, 35085",080 333 70 40,valentynadeineko@example.org
Забара,Галина,Орхипівна,Жіноча,15-08-1946,Ювелір,селище Куп'янськ,"сквер Лунний, буд. 2 кв. 56, Надвірна, 47856",+380 95 266 25 35,jnehoda@example.net
Ткач,Сніжана,Варфоломіївна,Жіноча,28-10-2004,Гірник,місто Зборів,"провулок Торгова, буд. 195, Калуш, 39610",099 240 69 98,andrii80@example.com
Лагода,Світлана,Єфремівна,Жіноча,12-07-1959,Письменник,місто Кипуче,"сквер Юннатів 1-й, буд. 07 кв. 26, Обухів, 54751",052 753-76-56,huzenkoboleslav@example.com
Бездітко,Ярина,Азарівна,Жіноча,24-03-2000,Мінералог,селище Чортків,"площа Михайла Грушевського, буд. 88, Нова Одеса, 97253",+380 50 668-54-77,wsmyk@example.net
Байда,Марина,Олегівна,Жіноча,05-11-1961,Складальник,село Чоп,"сквер Гоголя, буд. 95, Буринь, 49899",261 68 16,qzinkevych@example.org
Оберемко,Ярослава,Пантелеймонівна,Жіноча,26-02-1943,Патологоанатом,селище Заводське,"узвіз Вертелецького, буд. 8 кв. 70, Кам'янка-Бузька, 06424",+380 86 212-77-59,mykytazharko@example.org
Гаврилишин,Богданна,Аркадіївна,Жіноча,18-10-1969,Хореограф,місто Севастополь,"парк Рівності, буд. 416 кв. 27, Василівка , 98813",+380 81 008-65-22,ostap70@example.org
Сірченко,Анастасія,Юхимівна,Жіноча,23-01-1990,Продюсер,місто Корсунь-Шевченківський,"шосе Шефська, буд. 88 кв. 2, Краматорськ, 68468",+380 (19) 159-46-79,milenachekaliuk@example.com
Ніколюк,Алла,Степанівна,Жіноча,28-02-1993,Бібліограф,селище Богуслав,"проспект Андросовський, буд. 5, Нетішин, 32392",497 85 18,valentyna11@example.org
Запорожець,Олена,Прохорівна,Жіноча,13-03-1978,Дерун,місто Кам'янець-Подільський,"провулок Онезька, буд. 62 кв. 1, Білицьке, 27697",734-50-39,qdemianchuk@example.org
Франчук,Віра,Лукʼянівна,Жіноча,07-07-2003,Гірничий інженер,хутір Сулимівка (Слов'янськ),"сквер Змієнка Всеволода, буд. 78 кв. 9, Зугрес, 39195",054 685-13-07,mykolaimalyk@example.org
Цушко,Алла,Григоріївна,Жіноча,15-02-1978,Мистецтвознавець,селище Прилуки,"набережна Флотський 2-й, буд. 1, Кам'янка (Черкаська область), 04674",+380 91 419-19-87,violettahohol@example.com
Бабійчук,Вікторія,Амвросійовна,Жіноча,13-12-2000,Письменник,село Новомиргород,"проспект 10-та Суворовська, буд. 055, Остер , 86153",+380 16 722-43-73,frants12@example.org
Голик,Алла,Олександрівна,Жіноча,14-09-1978,Електромонтажник,хутір Горлівка,"площа Амундсена, 2-й, буд. 759, Запоріжжя, 23052",+380 (16) 042-96-63,kadeniukanita@example.net
Базилевська,Маруся,Семенівна,Жіноча,03-01-1997,Піаніст,хутір Курахове,"сквер Лінія 54-та, буд. 1 кв. 718, Шпола, 88649",571 55 41,ovakarchuk@example.org
Гриценко,Златослава,Германівна,Жіноча,05-12-1938,Няня,хутір Апостолове,"набережна Леонова, буд. 99 кв. 176, Армянськ, 35341",084 496 62 78,eshutko@example.com
Гавриленко,Розалія,Данилівна,Жіноча,19-02-1964,Електрослюсар,селище Іршава,"площа Крушельницької, буд. 2 кв. 792, Хоростків, 58576",067 199-96-56,tereshchenkodaryna@example.com
Годунок,Ліза,Ааронівна,Жіноча,26-06-1946,Слідчий,місто Соледар,"узвіз Митна, буд. 395, Залізне, 85421",082 173 26 41,stanislav26@example.com
Голик,Святослава,Зорянівна,Жіноча,20-09-1998,Няня,хутір Болград,"площа Котляревського, буд. 5, Малин, 04581",087 926-16-72,symon42@example.org
Гречко,Одарка,Мартинівна,Жіноча,30-01-1979,Палеонтолог,місто Дубляни,"сквер Зелена балка, буд. 737, Батурин, 75503",766-32-57,svasylenko@example.com
Скорик,Марина,Опанасівна,Жіноча,08-01-1963,Живописець,хутір Шахтарськ,"узвіз Аеропортівський 2-й, буд. 377, Алчевськ, 59248",+380 12 749 47 90,sofiiagoliash@example.net
Ященко,Єлисавета,Ігнатівна,Жіноча,09-07-1965,Музичний редактор,місто Гайворон,"проспект Наявний 2-й, буд. 410, Ланівці, 50912",010 95 21,tarasenkoivan@example.net
Медведенко,Еріка,Гордіївна,Жіноча,07-10-1952,Математик,хутір Красноград,"провулок Лінія 27-ма, буд. 863, Прип'ять , 15179",062 003 00 10,davydhavrylets@example.net
Романенко,Орина,Богданівна,Жіноча,09-02-2008,Фрілансер,селище Ладижин,"проспект Лузанівка, буд. 84 кв. 1, Генічеськ, 61110",290-36-06,nestorbaranets@example.com
Макаренко,Світлана,Варфоломіївна,Жіноча,04-10-2002,Прокурор,місто Хоростків,"набережна Лунний, буд. 69 кв. 774, Ланівці, 42215",498 93 30,venedykt18@example.org
Удовиченко,Емілія,Тимофіївна,Жіноча,10-01-1939,Бухгалтер,село Яготин,"набережна Просвіти, буд. 0 кв. 127, Кропивницький, 28886",022 958-33-02,dmatviienko@example.org
Дейнека,Галина,Едуардівна,Жіноча,25-07-2000,Електрик,селище Болград,"провулок Сортувальна 2-га, буд. 3 кв. 162, Верхньодніпровськ, 76128",+380 24 350 36 44,rostyslavazhazha@example.net
Ніколюк,Оксана,Микитівна,Жіноча,01-01-1968,Модель,село Південне ,"вулиця Балтський 6-й, буд. 88 кв. 480, Кипуче, 24283",079 962-27-32,udovychenkoiefrem@example.com
Литвиненко,Соломія,Несторівна,Жіноча,08-09-1954,Гицель,селище Судак ,"проспект Професора Каришковського, буд. 295 кв. 470, Дніпро , 98996",+380 50 941 57 64,zakhar10@example.org
Салій,Володимира,Болеславівна,Жіноча,05-10-1991,Літературознавець,місто Трускавець,"сквер Виїзна, буд. 1 кв. 95, Ічня, 06703",+380 96 230-00-39,alinahavriushenko@example.net
Зайченко,Юстина,Демʼянівна,Жіноча,08-07-1980,Кушнір,селище Дубляни,"узвіз Старосінна, буд. 982, Нове Давидково, 08223",020-68-87,satsiukvenedykt@example.net
Гаврилишина,Марта,Святославівна,Жіноча,07-06-1990,Електрослюсар,село Вуглегірськ,"площа Тарутинська, буд. 13, Лубни, 51221",098 526 02 57,iaroshpavlo@example.org
Матвієнко,Лариса,Леонідівна,Жіноча,27-09-1948,Гінеколог,хутір Львів,"проспект Маячний, буд. 27, Ківерці, 66783",+380 (97) 467-28-57,lkarpenko@example.org
Деревʼянко,Марʼяна,Алевтинівна,Жіноча,21-10-2006,Сантехнік,селище Бердянськ,"провулок Гаршина, буд. 0, Чистякове, 52059",007 46 57,pcherinko@example.net
Сіробаба,Ольга,Володимирівна,Жіноча,13-09-1946,Кур'єр,місто Армянськ,"площа Паустовського, буд. 277 кв. 4, Суми, 59683",+380 75 181-52-31,uzaika@example.com
Шелест,Святослава,Артемівна,Жіноча,11-11-2003,Круп'є,хутір Таврійськ,"шосе Нафтовиків, буд. 90 кв. 0, Соснівка , 26254",+380 97 064-92-60,rpetrenko@example.net
Пушкар,Мілена,Азарівна,Жіноча,12-04-1952,Слідчий,село Павлоград,"узвіз Садова 1-ша, буд. 8 кв. 79, Андрушівка, 47148",+380 (34) 140-10-13,demyd45@example.com
Чарниш,Ярослава,Макарівна,Жіноча,25-10-1955,Співак,село Ходорів,"узвіз Мічуріна, буд. 6 кв. 65, Молочанськ, 99257",+380 98 321 51 37,ishchakoryna@example.net
Ященко,Мілена,Бориславівна,Жіноча,17-03-1946,Скульптор,селище Гірське,"шосе Дунаєвського 2-й, буд. 04 кв. 302, Міусинськ, 36644",070 903 33 16,hordii23@example.org
Данчук,Марія,Демʼянівна,Жіноча,11-06-1950,Стиліст,хутір Волноваха,"парк Іцхака Рабіна, буд. 56 кв. 713, Рудки, 47051",096 953-49-54,khomyksnizhana@example.com
Ковалюк,Василина,Аврелійовна,Жіноча,28-03-1983,Кінорежисер,село Алушта,"сквер Леваневського, буд. 25 кв. 681, Бориспіль, 60058",411-30-07,kostiantyn79@example.net
Гаврилишин,Віра,Варфоломіївна,Жіноча,16-05-1967,Географ,селище Кам'янка (Черкаська область),"шосе Платанова, буд. 58 кв. 484, Ужгород, 54543",+380 04 562 87 01,ohuzenko@example.org
Вітрук,Єлисавета,Стефанівна,Жіноча,18-03-1997,Секретар,село Буськ,"проспект Флотський 4-й, буд. 146 кв. 9, Кобеляки, 60353",027 285 54 68,jsirobaba@example.net
Дацюк,Наталія,Юхимівна,Жіноча,09-07-1945,Няня,селище Зугрес,"вулиця Льва Толстого, буд. 000 кв. 9, Могилів-Подільський, 80507",033 286 93 81,iaroslavsvystun@example.org
Свистун,Орина,Азарівна,Жіноча,04-11-1980,Електромонтажник,місто Дубно,"шосе Крушельницької, буд. 72 кв. 7, Ладижин, 45040",+380 78 747-22-98,somkooles@example.org
Ґереґа,Ірена,Олександрівна,Жіноча,10-02-1991,Гінеколог,хутір Лебедин,"площа Скидановська, буд. 070 кв. 02, Докучаєвськ, 56577",074 98 72,feofan66@example.com
Верменич,Аніта,Ааронівна,Жіноча,07-12-1955,Конструктор,хутір Привілля,"шосе Шкільний аеродром, буд. 575, Борзна, 38118",380-23-93,babarychenkonataliia@example.net
Вернигора,Оксана,Олегівна,Жіноча,06-10-1995,Фольклорист,місто Ужгород,"проспект Сімферопольська, буд. 91, Рівне, 46418",061 186-66-62,boryschernenko@example.net
Забара,Єва,Андріївна,Жіноча,06-08-1996,Актор,місто Христинівка,"провулок Аеропортівський 6-й, буд. 012 кв. 657, Гірське, 59327",051 576 65 82,anitashvedchenko@example.org
Терещенко,Тетяна,Костянтинівна,Жіноча,02-04-1992,Слідчий,село Долина ,"провулок Троїцького Миколи, буд. 0, Вишгород, 27159",796-67-39,ttereshchuk@example.net
Данильчук,Михайлина,Веніяминівна,Жіноча,19-05-2008,Філолог,селище Алмазна,"вулиця Лінія 26-та, буд. 89, Шаргород, 79660",+380 10 227-72-20,danna17@example.com
Аврамчук,Віолетта,Борисівна,Жіноча,27-06-1975,Публіцист,селище Глобине,"набережна Проїзний 1-й, буд. 603 кв. 10, Хрустальний, 24396",+380 (76) 460-23-99,cdubyna@example.net
Рябець,Лілія,Васильівна,Жіноча,30-03-1985,Музичний редактор,хутір Українськ,"узвіз Чорноморського козацтва, буд. 99 кв. 88, Луцьк, 61714",+380 43 289-77-78,snizhana26@example.org
Колісниченко,Юстина,Яремівна,Жіноча,29-03-1971,Стиліст,місто Ромни,"площа Покровський, буд. 65, Арциз, 35262",+380 02 777-87-22,vitaliiirvanets@example.com
Батіг,Одарка,Павлівна,Жіноча,30-01-1973,Зоолог,село Сарни,"сквер Ніжинська, буд. 6 кв. 228, Зимогір'я, 62560",+380 04 505-09-00,galaganzakhar@example.com
Артим,Пріска,Гордіївна,Жіноча,03-10-1941,Менеджер,селище Лиман ,"узвіз Лінія 38-ма, буд. 475 кв. 6, Олешки, 85238",+380 20 441-50-66,wpushkar@example.com
Вітер,Віра,Августинівна,Жіноча,08-12-1996,Ґрунтознавець,хутір Рівне,"узвіз Мазепи Івана, буд. 1, Броди, 32554",003 589-96-44,dankevychazar@example.org
Зайченко,Алла,Романівна,Жіноча,01-05-1990,Шериф,хутір Ромни,"шосе Івасюка Володимира, буд. 20, Українськ, 69618",376 90 61,svasylevych@example.net
Деревʼянко,Віолетта,Давидівна,Жіноча,24-06-1966,Детектив,селище Рожище,"шосе Польовий 1-й, буд. 969 кв. 1, Львів, 37446",453 74 40,rabramenko@example.org
Бевзенко,Емілія,Вʼячеславівна,Жіноча,03-10-1983,Дерун,селище Надвірна,"парк Чорноморка, буд. 81 кв. 076, Дружківка, 31283",081 056-72-17,tychynaievhen@example.org
Андрієнко,Надія,Прохорівна,Жіноча,24-10-2006,Географ,хутір Новгород-Сіверський,"сквер Дмитрія Донського, буд. 34 кв. 8, Очаків, 50113",+380 (36) 209-30-36,iustym80@example.net
Оліфіренко,Василина,Давидівна,Жіноча,08-10-1986,Музикознавець,місто Гнівань,"парк Дунаєвського, буд. 81 кв. 939, Ялта, 69736",873-36-18,taranvalerii@example.org
Бабійчук,Роксолана,Болеславівна,Жіноча,16-09-1966,Співак,хутір Старий Крим,"провулок Новгородський 2-й, буд. 3 кв. 5, Прип'ять , 08225",031 058-06-00,vtkach@example.org
Запорожець,Ярослава,Болеславівна,Жіноча,25-12-1974,Провізор,село Красноград,"узвіз Лінія 23-тя, буд. 3, Дніпро , 28644",+380 58 328 71 08,fedirpushkar@example.net
Павличенко,Златослава,Валеріївна,Жіноча,23-02-1984,Програміст,місто Вовчанськ,"узвіз Старокінний, буд. 01 кв. 829, Мелітополь, 41146",671 65 48,solomiiahodunok@example.org
Василечко,Едита,Сергіївна,Жіноча,01-02-1993,Каскадер,селище Саки ,"провулок Савицький, буд. 59 кв. 14, Дружба , 97152",+380 (61) 819-34-37,myroslav28@example.net
Рак,Михайлина,Борисівна,Жіноча,13-08-1984,Художник,село Сквира,"шосе Сміливий, буд. 47, Богодухів, 78888",048 083 03 74,musyk@example.com
Рябченко,Олена,Адамівна,Жіноча,06-08-1964,Дантист,місто Хоростків,"узвіз Косяченка Олексія, буд. 3, Зимогір'я, 09773",695 95 80,borys28@example.com
Приходько,Роксолана,Васильівна,Жіноча,02-04-2006,Намотувальник,село Городенка,"провулок Трудова, буд. 24, Тисмениця, 02812",878 54 02,andriievychada@example.net
Дараган,Лариса,Демидівна,Жіноча,01-11-1961,Дипломат,місто Вижниця,"сквер Літня, буд. 55 кв. 382, Глобине, 14898",+380 (94) 464-87-95,teodor46@example.com
Корж,Вікторія,Яремівна,Жіноча,13-02-1939,Кушнір,хутір Вінниця,"проспект Український 1-й, буд. 83 кв. 27, Дубляни, 86634",087 554 26 44,thavryliv@example.net
Євтушок,Лариса,Сергіївна,Жіноча,21-02-2000,Ювелір,хутір Сторожинець,"проспект Дачна, буд. 515 кв. 50, Шахтарськ, 69741",523-74-15,arkadiifastenko@example.com
Фоменко,Маруся,Костянтинівна,Жіноча,09-10-1994,Провізор,місто Кипуче,"шосе Заводська 1-ша, буд. 1 кв. 01, Гірник , 75222",+380 05 748-52-63,hkarpa@example.com
Овсієнко,Еріка,Трохимівна,Жіноча,14-08-1953,Ботанік,місто Березне,"сквер Локомотивний 1-й, буд. 669, Глиняни, 85829",+380 76 161 91 63,myron39@example.org
Артимишин,Пріска,Теодорівна,Жіноча,11-04-1969,Детектив,хутір Волочиськ,"набережна Торгова, буд. 911, Суходільськ, 34332",080 275-13-02,semen34@example.org
Теліженко,Ліза,Григоріївна,Жіноча,29-08-1967,Швачка,хутір Довжанськ,"площа Велика Арнаутська, буд. 632, Дубно, 27799",+380 27 317-11-30,shchorsdemian@example.com
Вітрук,Орина,Антонівна,Жіноча,20-01-1971,Письменник,село Берегове,"парк Наявний 4-й, буд. 61, Мала Виска, 91090",+380 55 178-25-61,amvrosiiverkhola@example.net
Ткаченко,Роксолана,Семенівна,Жіноча,13-10-1950,Промисловець,село Роздільна,"вулиця Кінна, буд. 064, Київ, 78257",+380 90 281-25-47,ktverdokhlib@example.net
Баранник,Світлана,Артемівна,Жіноча,13-06-1954,Парфюмер,село Богодухів,"площа Кибальчича, буд. 7, Карлівка, 16522",+380 78 998 09 68,ihor82@example.org
Шухевич,Ганна,Климентівна,Жіноча,31-12-1995,Сантехнік,селище Селидове,"набережна Красних Зорь, буд. 285, Чугуїв, 38081",080-60-39,bohuslav25@example.org
